USERID,TEXT,DATE,COORD
6.05E+17,Volunteers search for missing after Central Texas flood - http://t.co/zsjnGgP6IM http://t.co/nWhKvcYj3O #toplink,Sat May 30 08:01:19 +0000 2015,"[34.124841,-118.283203]"
6.05E+17,Sorry sa flood _üòò‚úå,Sat May 30 08:53:41 +0000 2015,"[10.725938,122.556997]"
6.05E+17,Makapag flood nalang ulit. Hihihi,Sat May 30 09:16:58 +0000 2015,"[14.923509,120.884749]"
6.05E+17,#hot  Volunteers search for missing after Central Texas flood - http://t.co/zsjnGgP6IM http://t.co/djXcu3b2Cr #prebreak #best,Sat May 30 10:02:37 +0000 2015,"[42.719038,-75.867189]"
6.05E+17,@ArmorOGod: Like a flood His mercy rains.,Sat May 30 10:46:43 +0000 2015,"[-27.75004,30.05612]"
6.05E+17,@ranzkyle rk flood ka na. Kaya follow mepo,Sat May 30 10:55:23 +0000 2015,"[8.738258,124.78245]"
6.05E+17,"(555) FLASH FLOOD WARNING for Tarrant,  Dallas, Johnson co til 845. Avoid low lying areas &amp; flooded rd #TXwx #DFWwx http://t.co/n2wJD60xcu",Sat May 30 10:57:59 +0000 2015,"[32.414425,-97.489816]"
6.05E+17,Ooer there seems to have been a major flood in the building where I broadcast @MeridianRadio show studio FINE live in 1 min,Sat May 30 10:59:50 +0000 2015,"[51.477108,0.048988]"
6.05E+17,"I will soar with You above the storm. Father You are King over the flood. @ Pulau Ubin Island, Singapore https://t.co/XKRea9pM4Q",Sat May 30 11:23:14 +0000 2015,"[1.420743,103.838174]"
6.05E+17,Piles of soaked carpets and furniture along the street in #meyerland #houstonflood #abc13 #mapit http://t.co/PYJpLDXkFf,Sat May 30 11:46:13 +0000 2015,"[29.678783,-95.468525]"
6.05E+17,@chicserullyses flood na flood na po kita. Promise. Hehe. Kaya po followback na po,Sat May 30 11:55:31 +0000 2015,"[8.738258,124.78245]"
6.04E+17,Nothing but Blue skies for miles. Survived my first Houston flooding! _üëç_üòÑ‚òÄÔ_è #houston #houstonflood‚Ä¶ https://t.co/SyRuq3iw26,Sat May 30 01:54:22 +0000 2015,"[29.761694,-95.379575]"
