USERID,TEXT,DATE,COORD
6.04524E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/lOBoAIr3yW,Sat May 30 05:46:57 +0000 2015,"[29.7579,-95.3619]"
6.04526E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/0xu56qdFPk,Sat May 30 05:51:58 +0000 2015,"[29.749701,-95.346397]"
6.04526E+17,Buffalo Bayou Park affected by high rising flood waters http://t.co/TUQnj5dcO7,Sat May 30 05:53:19 +0000 2015,"[29.6542,-95.149696]"
6.04526E+17,Buffalo Bayou Park affected by high rising flood waters http://t.co/O5h987QN2R,Sat May 30 05:54:20 +0000 2015,"[29.7549,-95.415703]"
6.04527E+17,Me and my sister keep this #LANE shit lit every where we go nigga _üíØ_üíØ_üíØ_üíØ_üíØ @youknowjo_ we fena flood these states #Uva,Sat May 30 05:55:49 +0000 2015,"[41.872814,-87.689696]"
6.04527E+17,Buffalo Bayou Park affected by high rising flood waters http://t.co/mGypv4umYu,Sat May 30 05:58:24 +0000 2015,"[29.719,-95.421402]"
6.0453E+17,ffloodlikes ka para flood mo din sya punyemas_üòí,Sat May 30 06:08:16 +0000 2015,"[14.547758,121.00375]"
6.04532E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/FYtwnavqlx,Sat May 30 06:17:11 +0000 2015,"[29.7579,-95.3619]"
6.04533E+17,MLB: Houston Astros to host food drive to assist flood victims http://t.co/XWgTyf1tuL,Sat May 30 06:22:33 +0000 2015,"[29.749701,-95.346397]"
6.04538E+17,Volunteers search for missing after Central Texas flood: A handful of volunteers trudged along the muddy and‚Ä¶ http://t.co/rzhv6kUN75,Sat May 30 06:41:34 +0000 2015,"[35.22484,-80.840793]"
6.04538E+17,Volunteers search for missing after Central Texas flood: A handful of volunteers trudged along the muddy and‚Ä¶ http://t.co/YBGE5AvRAP,Sat May 30 06:41:35 +0000 2015,"[42.356118,-71.055252]"
6.0454E+17,Volunteers search for missing after Central Texas flood http://t.co/sIJ13HI4uc #FOX7Austin http://t.co/SXuCCH2T6D,Sat May 30 06:48:09 +0000 2015,"[30.271319,-97.740383]"
6.04542E+17,Volunteers search for missing after Central Texas flood: A handful of volunteers trudged along the muddy and‚Ä¶ http://t.co/HuS3m6cw4L,Sat May 30 06:58:45 +0000 2015,"[41.888046,-87.626267]"
6.04547E+17,@iamsofiaandres: only georgina wilson can flood my timeline with her face such a _üëë SofiaHomiesLovesSofia @SofiaHomiesOFC @iamsofiaandres,Sat May 30 07:18:48 +0000 2015,"[13.150154,123.719793]"
6.0455E+17,Top link: Volunteers search for missing after Central Texas flood - http://t.co/zsjnGgP6IM http://t.co/Q6nJz4ko5T #prebreak,Sat May 30 07:28:40 +0000 2015,"[36.207715,-115.116806]"
6.04555E+17,(i'll flood your feed _üòÇ‚úå_üèªÔ_è) @ Sofitel Philippine Plaza Manila https://t.co/j8fAAUaOAj,Sat May 30 07:47:05 +0000 2015,"[14.552923,120.980391]"
6.04558E+17,Volunteers search for missing after Central Texas flood - http://t.co/zsjnGgP6IM http://t.co/nWhKvcYj3O #toplink,Sat May 30 08:01:19 +0000 2015,"[34.124841,-118.283203]"
6.04571E+17,Sorry sa flood _üòò‚úå,Sat May 30 08:53:41 +0000 2015,"[10.725938,122.556997]"
6.04577E+17,Makapag flood nalang ulit. Hihihi,Sat May 30 09:16:58 +0000 2015,"[14.923509,120.884749]"
6.04589E+17,#hot  Volunteers search for missing after Central Texas flood - http://t.co/zsjnGgP6IM http://t.co/djXcu3b2Cr #prebreak #best,Sat May 30 10:02:37 +0000 2015,"[42.719038,-75.867189]"
6.046E+17,@ArmorOGod: Like a flood His mercy rains.,Sat May 30 10:46:43 +0000 2015,"[-27.75004,30.05612]"
6.04602E+17,@ranzkyle rk flood ka na. Kaya follow mepo,Sat May 30 10:55:23 +0000 2015,"[8.738258,124.78245]"
6.04603E+17,"(555) FLASH FLOOD WARNING for Tarrant,  Dallas, Johnson co til 845. Avoid low lying areas &amp; flooded rd #TXwx #DFWwx http://t.co/n2wJD60xcu",Sat May 30 10:57:59 +0000 2015,"[32.414425,-97.489816]"
6.04603E+17,Ooer there seems to have been a major flood in the building where I broadcast @MeridianRadio show studio FINE live in 1 min,Sat May 30 10:59:50 +0000 2015,"[51.477108,0.048988]"
6.04609E+17,"I will soar with You above the storm. Father You are King over the flood. @ Pulau Ubin Island, Singapore https://t.co/XKRea9pM4Q",Sat May 30 11:23:14 +0000 2015,"[1.420743,103.838174]"
6.04615E+17,Piles of soaked carpets and furniture along the street in #meyerland #houstonflood #abc13 #mapit http://t.co/PYJpLDXkFf,Sat May 30 11:46:13 +0000 2015,"[29.678783,-95.468525]"
6.04617E+17,@chicserullyses flood na flood na po kita. Promise. Hehe. Kaya po followback na po,Sat May 30 11:55:31 +0000 2015,"[8.738258,124.78245]"
6.03259E+17,If u left your car on a freeway or road u can go to http://t.co/q8jPhziKxm #houstonflood _üôè_üôè,Tue May 26 17:59:24 +0000 2015,"[29.772045,-95.330663]"
6.03261E+17,no school for this kid cuz #houstonflood @ Fountain View Cafe https://t.co/li9AxJODBw,Tue May 26 18:06:58 +0000 2015,"[29.748223,-95.486223]"
6.03261E+17,Memorial Drive just west of downtown #Houstonflood #HTX #mommydaughter #cycling #tandem @ Memorial Drive https://t.co/C9aCm6XsHk,Tue May 26 18:07:10 +0000 2015,"[29.762581,-95.401927]"
6.03265E+17,http://t.co/w4q3yXKCiB #prophecy #charliecharliechallenge #JESUS #houstonflood #BeyonceAlwaysOnBeat #BreloVerdict #Chicago #JESUSisLORD @TBN,Tue May 26 18:22:05 +0000 2015,"[25.775653,-80.139091]"
6.03267E+17,Little cypress creek #houstonflood #dji #djiphantom @ Lakes of Fairhaven https://t.co/5nakHKwYMW,Tue May 26 18:29:53 +0000 2015,"[30.023457,-95.747173]"
6.03269E+17,Spotted on Parkwood. #BeyIsSafe #houstonflood #surfbort @ Parkwood https://t.co/6Eea4AtthL,Tue May 26 18:38:29 +0000 2015,"[29.940353,-95.380055]"
6.0327E+17,The things that wash up. #williebracelet #braysbayou #houstonflood @ McDonald's at 5911 S Braeswood Blvd https://t.co/jfK4xsTNvp,Tue May 26 18:42:17 +0000 2015,"[29.677471,-95.493903]"
6.03271E+17,#braysbayou #houstonflood #houstonweather #meyerland #braeswood #houston #texas @ Braes Bayou‚Ä¶ https://t.co/3oucTn3cis,Tue May 26 18:44:54 +0000 2015,"[29.675803,-95.508331]"
6.03271E+17,#leaves are hinting us #flood #design #houstonflood #weather #Houston #texas @ Rice Village at West‚Ä¶ https://t.co/VYAGOZ9zkJ,Tue May 26 18:45:20 +0000 2015,"[29.716623,-95.41714]"
6.03271E+17,#hfd #houstonflood #houstonweather #braysbayou #braeswood #meyerland #houston #texas @ Braes Bayou‚Ä¶ https://t.co/TxZgWlW32O,Tue May 26 18:46:33 +0000 2015,"[29.675803,-95.508331]"
6.03272E+17,#braysbayou #braeswood #meyerland #houstonflood #houwx #houstonweather #houston #texas @ Braes Bayou‚Ä¶ https://t.co/c6g8IGlgH7,Tue May 26 18:48:50 +0000 2015,"[29.675803,-95.508331]"
6.03272E+17,#braysbayou #braeswood #meyerland #houstonflood #houwx #houstonweather #houston #texas #cloudporn‚Ä¶ https://t.co/WquWJ9znFr,Tue May 26 18:51:15 +0000 2015,"[29.675803,-95.508331]"
6.03273E+17,Street in front of our house #houstonflood http://t.co/6zFMJlfTIm,Tue May 26 18:52:49 +0000 2015,"[29.708844,-95.402786]"
